trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,8,-52.25039279340616,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,6,-8.737864647280453,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,0,-19.55173921388066,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,19,-0.9166627026269152,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,0,-135.40714818558834,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",20,8,-50.039308427478105,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",25,0,5.292118948903762,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",20,6,-42.28761572184124,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",20,0,-10.31033001648707,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",30,11,-27.42083403088316,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,13,-33.640700667695576,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,15,8.523444868177892,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,0,-32.466300354508654,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",35,2,-88.91625990683112,"{0: 21, 1: 6, 2: 5, 3: 0, 4: 1}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,12,15.109617546937988,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,9,-8.863218753915405,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,0,-47.070356845019745,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,12,-0.29790509097700735,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,0,-87.98976259539825,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",30,7,-28.200390475478372,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,0,7.487158180329111,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,-41.34345129994145,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,2,-65.40902097526384,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,4,-72.36733363839373,"{0: 11, 1: 2, 2: 0, 3: 2, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",20,14,9.708338087243607,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",30,0,-78.68437751701957,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,13,6.032618361298457,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",25,15,-22.809478692658725,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-106.62892459863313,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,0,-9.78179247081326,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.497571047891727}",25,12,-6.152042520652758,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",25,4,-28.275518870819692,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",35,16,-8.033697804178686,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,3,-4.858595567541783,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,0,19.00825011570369,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,0,-31.14066591077134,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",30,12,-2.553161545831438,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",30,14,-91.72619066170364,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 2}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,6,-18.47985243616082,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,13,-26.816595619512874,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,3,-5.771020616422044,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,4,-12.8909651731014,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,0,-36.572195977633314,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,10,-51.48484719770971,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,11,5.366094625903249,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,16,4.932520212633464,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",30,0,-38.79259660968877,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,3,-46.32225055318848,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,4,8.653632095481226,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,9,1.4405430990412262,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
